FURNISHED,GOURMET_SPACE,KITCHEN,DRESS_ROOM,BALCONY,SPORTS_COURT,FOOD_COURT,RECREATION_AREA,REST_AREAS,POOL,SAFETY,VIEW,ACCESSIBILITY,WORK_AREAS,GARAGE,SUSTAINABILITY,OUTDOOR_AREAS,PET_FRIENDLY,MID_END_APARTMENT_AMENITIES,HIGH_END_APARTMENT_AMENITIES,HIGH_END_CONDO_AMENITIES,ZONE_CODE,NEIGHBORHOOD_CODE,PRICE,USABLEAREAS,TOTALAREAS,PARKINGSPACES,SUITES,BEDROOMS,ELEVATOR,SERVICE_AREA,LAUNDRY,LUNCH_ROOM,ESSENTIAL_PUBLIC_SERVICES,NEAR_HOSPITAL,NEAR_SHOPPING_CENTER,COVERAGE,YEARLY_EXPENSES,ZONE,NEIGHBORHOOD,STREET,PRICE_BIN,STREET_RELEVANCE
1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,3,8,700000,70,70,1,1,2,1,0,1,0,0,0,0,0,14670,Zona Oeste,Barra Olímpica,Avenida Embaixador Abelardo Bueno,Bin_1,0.14389227119956652
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,28,1104000,135,135,1,1,3,1,1,0,0,0,0,0,0,24540,Zona Sul,Copacabana,Rua Barata Ribeiro,Bin_1,0.19895795362734486
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,39,4000000,270,300,1,1,4,1,0,0,0,0,0,0,0,24150,Zona Sul,Flamengo,Avenida Rui Barbosa,Bin_1,0.6178125366905896
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,990000,205,205,2,2,4,0,0,0,0,0,0,0,0,13450,Zona Oeste,Recreio dos Bandeirantes,Avenida das Américas,Bin_1,0.22816842275860463
1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,50,925000,72,72,1,1,2,1,0,0,0,0,0,0,0,11482,Zona Sul,Humaitá,Rua Engenheiro Marques Porto,Bin_1,0.16594882519837703
0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,4,57,990000,74,74,1,1,2,1,1,0,0,0,0,0,0,17047,Zona Sul,Jardim Botânico,Rua Faro,Bin_1,0.28192757931948004
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,9,2299000,204,204,3,2,4,1,0,0,0,0,0,0,0,25079,Zona Oeste,Barra da Tijuca,Avenida Gilberto Amado,Bin_1,0.46333534600550735
0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,3,19,924000,166,166,2,1,3,1,1,0,0,0,0,0,0,20100,Zona Oeste,Campo Grande,Rua Olinda Ellis,Bin_1,0.14312480935328456
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,35,184000,60,60,0,0,2,0,0,0,0,0,0,0,0,6862,Zona Norte,Engenho Novo,Rua Frei Fabiano,Bin_1,0.03654525169544997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,758900,114,114,2,1,3,0,0,0,0,0,0,0,0,12131,Zona Oeste,Recreio dos Bandeirantes,Rua Luiz Paulistano,Bin_1,0.1616207185448589
1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,3,5,250000,48,48,1,0,2,1,0,0,0,0,0,0,0,9384,Zona Oeste,Anil,Avenida Tenente-Coronel Muniz de Aragão,Bin_1,0.042044129752587575
1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,3,9,4300000,233,233,3,4,4,1,0,0,0,0,0,0,0,48500,Zona Oeste,Barra da Tijuca,Avenida das Américas,Bin_1,0.22816842275860463
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,1750000,163,163,3,1,3,0,0,0,0,0,0,0,0,25919,Zona Oeste,Barra da Tijuca,Avenida Érico Veríssimo,Bin_1,0.6251746786539552
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,53,798000,41,41,1,0,1,0,0,0,0,0,0,0,0,9729,Zona Sul,Ipanema,Rua Alberto de Campos,Bin_1,0.2719780319269699
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,44,439999,75,75,2,1,2,1,1,0,0,0,0,0,0,13299,Zona Norte,Grajaú,Rua Nossa Senhora de Lourdes,Bin_1,0.07095200615188224
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4,28,870000,88,88,1,0,3,1,0,0,0,0,0,0,0,16420,Zona Sul,Copacabana,Rua Professor Gastão Bahiana,Bin_1,0.23022814231054767
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,112,1480000,200,200,2,0,3,1,1,0,0,0,0,0,0,16795,Zona Norte,Tijuca,Rua Antônio Basílio,Bin_1,0.2103618230909909
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,53,3400000,146,146,1,1,3,1,0,0,0,0,0,0,0,49000,Zona Sul,Ipanema,Rua Barão da Torre,Bin_1,0.3742695706252934
0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,4,53,1750000,48,48,0,1,1,1,0,0,0,0,0,0,0,13,Zona Sul,Ipanema,Rua Gomes Carneiro,Bin_1,0.3389684463145814
0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,8,1065000,125,125,2,2,4,1,0,1,1,0,0,0,0,24001,Zona Oeste,Barra Olímpica,Avenida Salvador Allende,Bin_1,0.15790760674475
0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,4,39,950000,128,128,1,1,3,1,0,0,0,0,0,0,0,20400,Zona Sul,Flamengo,Rua Senador Vergueiro,Bin_1,0.2240047988718432
0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,17,499000,60,60,1,1,3,0,0,0,0,0,0,0,0,9000,Zona Oeste,Camorim,Estrada dos Bandeirantes,Bin_1,0.07927970967340688
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,75,275000,64,64,1,0,2,0,0,0,0,0,0,0,0,0,Zona Norte,Oswaldo Cruz,Rua Antônio Badajos,Bin_1,0.053621869737628336
1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,3,93,2500000,263,263,4,2,4,1,1,0,0,0,0,0,0,28930,Zona Oeste,Recreio dos Bandeirantes,Avenida Lúcio Costa,Bin_1,0.3942639810505084
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,1490000,135,135,0,1,3,0,0,0,0,0,0,0,0,12003,Zona Sul,Copacabana,Avenida Princesa Isabel,Bin_1,0.18008141398229127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,89,310000,94,94,0,0,3,0,0,0,0,0,0,0,0,4570,Zona Sul,Praça da Bandeira,Avenida Paulo de Frontin,Bin_1,0.08198930558482204
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,47,2550000,161,161,2,3,4,1,1,1,0,0,0,0,0,24897,Zona Sul,Gávea,Avenida Rodrigo Otavio,Bin_1,0.4791301913361775
0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,8,735000,87,87,1,1,2,0,0,0,0,0,0,0,0,19960,Zona Oeste,Barra Olímpica,Rua Alfredo Ceschiatti,Bin_1,0.19217103107116143
1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,80,290000,70,70,1,1,3,1,1,0,0,0,0,0,0,8468,Zona Oeste,Pechincha,Rua Retiro dos Artistas,Bin_1,0.09647379312794327
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,107,220000,55,55,0,0,1,0,0,0,0,0,0,0,0,6708,Zona Norte,São Cristóvão,Rua Argentina,Bin_1,0.04999514242615443
0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,3,93,617000,70,70,1,1,1,1,0,0,0,0,0,0,0,16890,Zona Oeste,Recreio dos Bandeirantes,Rua José Mindlin,Bin_1,0.22002281492748113
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,4,28,1900000,115,115,1,1,2,0,0,0,0,0,0,0,0,17512,Zona Sul,Copacabana,Rua Paula Freitas,Bin_1,0.2518078531821809
0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,4,47,810000,29,29,0,0,1,1,1,0,0,0,0,0,0,8000,Zona Sul,Gávea,Rua Marquês de São Vicente,Bin_1,0.31554219231990654
0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,4,13,1587000,109,109,2,2,4,1,1,0,0,0,0,0,0,13,Zona Sul,Botafogo,Rua Sorocaba,Bin_1,0.3985631521626592
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4,28,858000,35,35,0,0,1,0,0,0,0,0,0,0,0,12100,Zona Sul,Copacabana,Rua Leopoldo Miguez,Bin_1,0.29360989352569555
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,2,123,389000,67,67,1,0,2,1,1,0,0,0,0,0,0,8393,Zona Norte,Vila Isabel,Rua Araújo Lima,Bin_1,0.09014927550766
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,93,680000,79,79,2,1,3,1,1,0,0,0,0,0,0,13680,Zona Oeste,Recreio dos Bandeirantes,Rua Professor Motta Maia,Bin_1,0.22180476104915237
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,28,630000,62,62,0,0,2,1,0,0,0,0,0,0,0,10722,Zona Sul,Copacabana,Avenida Nossa Senhora de Copacabana,Bin_1,0.15759460280516557
1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,2,112,870000,70,70,1,1,2,1,1,0,0,0,0,0,0,14576,Zona Norte,Tijuca,Avenida Maracanã,Bin_1,0.14323626289512542
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,3,9,2600000,190,190,2,2,4,1,0,1,0,0,0,0,0,35211,Zona Oeste,Barra da Tijuca,Avenida Belisário Leite de Andrade Neto,Bin_1,0.4445275513231404
0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,3,9,960000,88,88,1,1,2,0,0,0,0,0,0,0,0,21600,Zona Oeste,Barra da Tijuca,Rua Jornalista Henrique Cordeiro,Bin_1,0.2795106954838608
1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,3,9,1200000,78,78,1,1,2,1,1,0,0,0,0,0,0,25906,Zona Oeste,Barra da Tijuca,Avenida Flamboyants da Península,Bin_1,0.5367560764482608
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,112,750000,124,124,2,1,2,1,0,0,0,0,0,0,0,10880,Zona Norte,Tijuca,Rua Barão de Mesquita,Bin_1,0.09603037252890517
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,1490000,320,320,1,2,4,0,0,0,0,0,0,0,0,21589,Zona Oeste,Recreio dos Bandeirantes,Rua Albano de Carvalho,Bin_1,0.26559796211719183
1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,4,28,630000,80,80,0,0,2,1,1,0,0,0,0,0,0,10428,Zona Sul,Copacabana,Rua Figueiredo Magalhães,Bin_1,0.1831664322694525
0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,3,9,3490000,380,0,6,4,5,1,0,0,0,0,0,0,0,46970,Zona Oeste,Barra da Tijuca,Rua Jacarandás da Península,Bin_1,0.4411209330441771
0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,3,9,3275000,273,273,3,2,4,1,0,0,0,0,0,0,0,1300,Zona Oeste,Barra da Tijuca,Avenida Flamboyants da Península,Bin_1,0.5367560764482608
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,112,575000,111,111,1,0,3,1,1,0,0,0,0,0,0,13420,Zona Norte,Tijuca,Rua Conselheiro Zenha,Bin_1,0.10623976626339601
0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,3,9,1123850,123,123,2,2,4,0,1,0,0,0,0,0,0,0,Zona Oeste,Barra da Tijuca,Avenida Salvador Allende,Bin_1,0.15790760674475
0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,80,395000,60,60,1,1,2,1,1,0,0,0,0,0,0,8470,Zona Oeste,Pechincha,,Bin_1,
0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,3,9,421530,55,55,1,1,2,1,0,1,0,0,0,0,0,13,Zona Oeste,Barra da Tijuca,Avenida Salvador Allende,Bin_1,0.15790760674475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,106,1160000,95,95,1,2,2,0,0,0,0,0,0,0,0,9500,Zona Sul,São Conrado,Estrada da Gávea,Bin_1,0.355670303405107
1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,3,8,1080000,89,89,1,1,3,1,0,0,0,0,0,0,0,18125,Zona Oeste,Barra Olímpica,Avenida Vice-Presidente José Alencar,Bin_1,0.19301715766624236
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,1700000,217,217,1,1,4,0,0,0,0,0,0,0,0,21378,Zona Sul,Flamengo,Avenida Oswaldo Cruz,Bin_1,0.3052046478699203
1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,3,9,2280000,165,165,2,2,4,1,0,0,0,0,0,0,0,32015,Zona Oeste,Barra da Tijuca,Avenida Luiz Aranha,Bin_1,0.3014289363062382
1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,4,28,2200000,300,300,3,1,5,1,1,1,1,0,0,0,0,47280,Zona Sul,Copacabana,Rua Leopoldo Miguez,Bin_1,0.29360989352569555
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,107,280000,56,56,0,0,1,1,0,0,0,0,0,0,0,7201,Zona Norte,São Cristóvão,Campo São Cristóvão,Bin_1,0.05070471383144532
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,28,1750000,170,170,1,1,3,1,1,0,0,0,0,0,0,12000,Zona Sul,Copacabana,Rua Miguel Lemos,Bin_1,0.317976618987852
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,400000,72,72,1,0,3,0,0,0,0,0,0,0,0,6230,Zona Norte,Andaraí,Rua Goiânia,Bin_1,0.07825394769280912
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,43,320000,32,32,0,0,1,1,0,0,0,1,0,0,0,7800,Zona Sul,Glória,Rua Benjamim Constant,Bin_1,0.0950563478566086
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,53,850000,76,76,0,0,2,1,1,0,0,0,0,0,0,11258,Zona Sul,Ipanema,Rua Alberto de Campos,Bin_1,0.2719780319269699
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,750000,133,133,2,1,3,0,0,0,0,0,0,0,0,12334,Zona Oeste,Recreio dos Bandeirantes,Rua Silvia Pozzano,Bin_1,0.1673409165933203
1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,4,28,510000,40,40,0,0,1,1,1,0,0,0,0,0,0,11272,Zona Sul,Copacabana,Rua Barata Ribeiro,Bin_1,0.19895795362734486
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,28,1500000,137,137,1,1,4,0,0,0,0,0,0,0,0,19575,Zona Sul,Copacabana,Rua Barata Ribeiro,Bin_1,0.19895795362734486
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2400000,110,110,2,1,3,1,0,0,0,0,0,0,0,26600,Zona Oeste,Barra da Tijuca,Praça Antônio Callado,Bin_1,0.35152123891463344
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,123,525000,80,80,1,1,2,1,0,0,0,0,0,0,0,10100,Zona Norte,Vila Isabel,Rua Araújo Lima,Bin_1,0.09014927550766
0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,3,9,1374000,149,149,1,1,3,1,0,0,0,0,0,0,0,13,Zona Oeste,Barra da Tijuca,Rua Rogério Jonas Zylbersztajn,Bin_1,0.17459672944253857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,1400000,64,64,0,0,2,1,0,0,0,0,0,0,0,14147,Zona Sul,Ipanema,Rua Canning,Bin_1,0.26506709719744104
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,4,50,1580000,135,135,1,1,3,1,1,0,0,0,0,0,0,22195,Zona Sul,Humaitá,Rua Davi Campista,Bin_1,0.3049083433270516
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,26,300000,73,73,1,0,2,1,1,0,0,0,0,0,0,8605,Zona Norte,Cocotá,Rua Tenente Cleto Campelo,Bin_1,0.06201920465324236
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,93,760000,99,99,2,1,3,0,0,0,0,0,0,0,0,21730,Zona Oeste,Recreio dos Bandeirantes,Avenida José Luiz Ferraz,Bin_1,0.1459792002112029
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,44,580000,150,150,1,1,3,1,0,0,0,0,0,0,0,20308,Zona Norte,Grajaú,Rua Araxá,Bin_1,0.13016736170017174
1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,3,9,1350000,79,79,1,1,2,1,0,1,0,0,0,0,0,23561,Zona Oeste,Barra da Tijuca,Avenida das Acácias da Península,Bin_1,0.4663092097671546
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,62,1590000,99,99,2,1,3,0,0,0,0,0,0,0,0,29052,Zona Sul,Lagoa,Rua Presidente Alfonso López,Bin_1,0.452021273039525
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,28,2650000,178,178,2,2,4,0,0,0,0,0,0,0,0,42670,Zona Sul,Copacabana,Rua Joaquim Nabuco,Bin_1,0.40306634087841653
0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,3,93,515000,68,68,1,1,2,1,1,0,0,0,0,0,0,13175,Zona Oeste,Recreio dos Bandeirantes,Avenida José Luiz Ferraz,Bin_1,0.1459792002112029
1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,4,53,1500000,92,92,1,1,2,1,1,0,0,0,0,0,0,23715,Zona Sul,Ipanema,Avenida Epitácio Pessoa,Bin_1,0.41717480647745336
0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,3,9,1420000,73,73,1,1,2,1,0,0,0,0,1,1,0,31324,Zona Oeste,Barra da Tijuca,Avenida Lúcio Costa,Bin_1,0.3942639810505084
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,28,1350000,100,100,1,2,3,1,1,0,0,0,0,0,0,16556,Zona Sul,Copacabana,Avenida Nossa Senhora de Copacabana,Bin_1,0.15759460280516557
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,93,1200000,180,180,2,1,3,1,0,0,0,0,0,0,0,16260,Zona Oeste,Recreio dos Bandeirantes,Rua Antônio de Magalhães,Bin_1,0.3209258013429886
1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,4,28,3000000,300,300,2,1,3,1,1,0,0,0,0,0,0,33500,Zona Sul,Copacabana,Rua Aires Saldanha,Bin_1,0.3455577138969094
0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,3,9,1390000,105,105,2,1,1,1,0,0,0,0,0,0,0,30568,Zona Oeste,Barra da Tijuca,Avenida Lúcio Costa,Bin_1,0.3942639810505084
1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,4,28,570000,39,39,0,0,1,1,0,0,0,0,1,1,0,8582,Zona Sul,Copacabana,Rua Domingos Ferreira,Bin_1,0.29327202831390997
0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,3,93,650000,78,78,1,1,3,1,0,0,0,0,0,0,0,14580,Zona Oeste,Recreio dos Bandeirantes,Avenida das Américas,Bin_1,0.22816842275860463
1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,4,28,550000,40,40,0,0,1,1,1,0,0,0,0,0,0,11920,Zona Sul,Copacabana,Avenida Nossa Senhora de Copacabana,Bin_1,0.15759460280516557
1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,3,93,739999,82,82,1,1,3,1,1,0,0,0,0,0,0,13628,Zona Oeste,Recreio dos Bandeirantes,Avenida Henfil,Bin_1,0.14465854216838384
1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,123,440000,72,72,1,0,2,1,1,0,0,0,0,0,0,11597,Zona Norte,Vila Isabel,Rua Luís Barbosa,Bin_1,0.06411318460452037
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,93,1400000,180,180,4,1,3,1,0,0,0,0,0,0,0,19705,Zona Oeste,Recreio dos Bandeirantes,Rua Demosthenes Madureira de Pinho,Bin_1,0.2905280966249786
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,41,1100000,250,250,2,1,4,0,0,0,0,0,0,0,0,18100,Zona Oeste,Freguesia (Jacarepaguá),Rua Francisca Sales,Bin_1,0.12408115679203734
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,1790000,160,160,1,1,3,0,0,0,0,0,0,0,0,28746,Zona Sul,Copacabana,Rua Duvivier,Bin_1,0.17519506031748683
0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,3,80,295000,50,50,1,0,2,1,0,0,0,0,0,0,0,6060,Zona Oeste,Pechincha,Rua Mirataia,Bin_1,0.05673768126237027
0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,4,13,1260000,126,126,1,2,2,1,1,0,1,0,1,1,0,22155,Zona Sul,Botafogo,Rua Pinheiro Guimarães,Bin_1,0.22393615650650253
1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,2,69,750000,137,137,2,0,2,1,1,0,0,0,0,1,0,17200,Zona Norte,Maracanã,Rua Dona Zulmira,Bin_1,0.15578160974774044
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,3,9,3040000,147,147,3,2,4,1,0,0,0,0,0,0,0,13,Zona Oeste,Barra da Tijuca,Avenida Sobral Pinto,Bin_1,0.5109822954491323
1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,125,450000,117,117,1,1,3,0,0,0,0,0,0,0,0,12062,Zona Oeste,Vila Valqueire,Rua Rui Mafra,Bin_1,0.10771278262722665
1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3,109,200000,43,43,1,0,2,0,1,0,0,0,0,0,0,10224,Zona Oeste,Tanque,Avenida Geremário Dantas,Bin_1,0.060953291339643285
